Address,General_Plan_Designation,Latitude,Longitude,,,
825 Santa Barbara Place,Residential,32.7740386,-117.2512551,,,
3503 –3517 INDIANA STREET,High Residential,32.742598,-117.145948,,,
1122 4th Avenue,Core ( C ),32.7169990937399,-117.161181444665,,,
818 Santa Barbara Place,School,32.774462,-117.2512184,,,
3745 3rd Avenue,Residential High,32.7459417742538,-117.162641582729,,,
525 Hawthorne,"Commercial/Residential Medium, Residential High",32.7894264060288,-116.983157748406,,,
1941-1954 Columbia St 92101,Mixed Commercial,32.7251201991981,-117.167824654149,,,
 4411 Kansas Street,Residential Medium,32.7576201,-117.1311799,,,
550 14TH Street ,Residential Emphasis (RE),32.7110094449524,-117.15200628147,,,
" 5805 1/3 Village Center Loop Rd, San Diego, CA 92 130 ",Core Residential (CR),32.960627,-117.190265,,,
301-319 Upas Street,Residential,32.740484,-117.161914,,,
806 27th Street ,Medium Density Residential ,32.7138699,-117.13624,,,
"2828, 2848 and 2870 Fourth Avenue",Office-Residential,32.7348305494156,-117.161317059671,,,
2871-2877 B Street,Medium Residential,32.7178464365484,-117.132304211644,,,
3975 Old Town Av, Multi-family Residential ,32.749706,-117.191274,,,
 2351-2359 Front Street 92101,Medium High Density Multi-Family Residential,32.7298124442962,-117.164740489385,,,
3060 BROADWAY, High Density Residential ,32.7161874,-117.1282787,,,
4329 and 4337 Idaho Street,High/Very High Residential Density,32.7560096,-117.133527,,,
 3537- 3547 Indiana Street, Medium High Residential,32.743175,-117.145831,,,
 2902-2912 Jarvis Street,Multi-Family,32.7268642682798,-117.225810395257,,,
2828-2834 Broadway,High Density Residential,32.7159302297203,-117.133164456062,,,
3740 and 3750 Third Avenue,,32.7458668561303,-117.162821311182,,,
3805 Ingraham Street,Neighborhood Commerical,32.7891838,-117.2372346,,,
2129 El Cajon Boulevard,Commercial Linear,32.7550296,-117.1418828,,,
1180 Rosecrans Street,Commercial,32.7225971,-117.2313439,,,
260 and 262 East Park Avenue,Multi-family residential,32.5566477954589,-117.04378099327,,,
4075 Park Boulevard,Commercial Linear,32.7518609,-117.1460421,,,
1487 Parrot Street,,32.7204042,-117.1129426,,,
1372 Kettner Boulevard,,32.7195227,-117.1694633,,,
1290 Kettler Court,Medium Density Residential,32.693119,-117.103843,,,
5716 Hardy Avenue,Very High Residential,32.7728089,-117.0726254,,,
SE Corner of Carmel Valley Rd and Lopelia Meadows Place,Peripheral Residential,32.965932,-117.182834,,,
6850 113 Black Mountain Road,Low Density Residential,32.9702375260595,-117.174750063082,,,
"11th & Broadway (block bounded by Broadway, E Street, Eleventh Avenue and Park Boulevard)",Employment/Residential Mixed-Use,32.715204,-117.154243,,,
307 Sycamore Rd,Low Medium Residential Density,32.5488005633964,-117.045177665329,,,
11345 Zapata Avenue,"Neighborhood Commercial, Medium Density Residential",32.9267526,-117.1432278,,,
505 62nd Street and 504 63rd Street,"Neighborhood Commercial Residential, Medium Density Residential",32.7104516,-117.0635272,,,
2262 and 2272 West Dunlop Street,Multi Family Residential,32.7848246,-117.1677484,,,
730 Camino Del Rio North,Mixed Use,32.765029161603,-117.157791139488,,,
1410 Lincoln Avenue,Medium High Density Residential,32.7522225,-117.1509089,,,
3645 6th Avenue,Very High Residential,32.7446414725406,-117.159561474634,,,
360 113 Dennery Road,Low-Medium Residential/Park,32.588623,-117.029164,,,
4220 Arizona Street and 4212 Texas Street,High/Very High Residential,32.754351,-117.1382123,,,
4106-4114 LOUISIANA STREET,Medium-High,32.7523023789234,-117.1401388063,,,
"1634, 1644 and 1652 Grand Avenue","Community Commercial, Multifamily Residential",32.7982902,-117.239505,,,
located at the southerly terminus of Renault Way between Regents Road and Renault Street and Renault Place,Single Family Residential Development,32.849364,-117.218667,,,
133 W Olive Drive,Low Medium Residential Density,32.5532528103028,-117.042948810239,,,
2199 Kettner Blvd,Neighborhood Mixed-Use Center,32.7271383069038,-117.170622264082,,,
west of Deer Road and south of Camino San Bernardo ,Residential,33.010562,-117.124067,,,
2355 1/3 Ulric St,"High Density Residential, Community Commercial",32.7863036797474,-117.16947951095,,,
5210 Genesee Cove,Medium Density Residential,32.8566882,-117.204496,,,
"The site is located easterly of Camino Del Sur, approximately one mile north of San Dieguito Road", Residential ,33.00607,-117.142741,,,
2748 Market Street between 2ih and 28th Street ,Residential,32.7117135495821,-117.134954984036,,,
"2604 Fifth Avenue, 406 Maple Street "," Office-Residential with High Residential, Commercial-Residential with Very High Residential",32.732476093047,-117.160391170599,,,
50 Camino De La Reina,Industrial Park,32.762042,-117.166583,,,
720 Silver Street and 7601 Draper Avenue,Medium High Density Residential,32.8413295284407,-117.276479038016,,,
2930 Barnard Street,School Use,32.7531333,-117.2234838,,,
345 Woodman Street,Single Family Residential Development,32.7008153,-117.0541243,,,
west of Landscape Drive and north of Parkside Avenu,Park,32.668898,-117.051673,,,
5282 Naranja St,Medium Density Multi-Family Residential,32.7091591,-117.0809206,,,
4520 Pocahontas Avenue,"School, Low Density Residential",32.8239148568484,-117.208510567273,,,
801 Pearl Street,"Commercial Mixed Use, Low-Medium Residential",32.8398558950959,-117.274884452631,,,
100-101 Park Plaza and 189-201 Park Boulevard,"Centre City Planned
District Ballpark Mixed-Use",32.706743,-117.154844,,,
6365 Lake Atlin Avenue,Public School- Elementary School,32.7966002419611,-117.012751958021,,,
south of Bernardo Center Drive/Carmel Valley Road and west of Interstate 15 in the Black Mountain Ranch Subarea,"Open Space, Residential",32.995369,-117.107816,,,
10222 and 10306 San Diego Mission Road,Residential,32.785959,-117.1118145,,,
"Market St., Park Boulevard, G Street, 11th Ave - entire block",Employment/Residential Mixed-Use,32.712111,-117.154272,,,
5541 Lindo Paseo,"High Density/Multi-family Residential, Fraternity/Sorority use",32.771566,-117.0756054,,,
1007 and 1021 30th Street ,Residential Use,32.7161823,-117.12945,,,
1425 & 1431 C Street,Employment/Residential Mixed-Use,32.7165599,-117.1514319,,,
3855 Rancho Santa Fe Farms Road,Low Density Residential,32.96859,-117.17814,,,
"Carmel Valley Road, between Lopelia Meadows Place and Zinnia Hills Place",Core Residential,32.965942,-117.182584,,,
101-112 Dickinson Street,Institutional-Hospital,32.7551108044574,-117.163972769843,,,
"northeast comer of Broadway and Pacific Highway, including vacated C Street",Employment,32.716314,-117.170562,,,
801 La Jolla Shores Drive,Medium Density Residential,32.852723,-117.254167,,,
2724 Reynard Way,Medium Residential,32.7340319,-117.1697051,,,
4380 Alvarado Canyon Road,Urban Village,32.7800705259805,-117.100194879315,,,
14103 Old El Camino Real,Residential,32.9716601,-117.2312804,,,
1610 Union Street and 320 West Cedar Street,,32.7221531,-117.1659048,,,
"6950, 7020, and 7050 Friars Road",Office Commercial,32.7693788,-117.1708309,,,
6738 La Jolla Boulevard and 350 Play a Del Sur.,"Medium High Residential, Commercial/Mixed Use",32.8303615379978,-117.27679360763,,,
3500-3534 Fifth Avenue,Commercial-Residential,32.7421223942518,-117.160468218986,,,
"south of Carmel Valley Road and east of Rancho Santa
Fe Farms Road",Peripheral Residential,32.96761,-117.177335,,,
north of Pacific Place and Village Center Loop Road,,32.961901,-117.186832,,,
5551 1/3 College Avenue,Very Low/Low Density Residential,32.7805898646913,-117.065149943068,,,
4253 Mission Boulevard,Visitor Commercial,32.793113,-117.2539591,,,
6155 Carmel Valley Road,,32.9632624,-117.1884675,,,
"123 Camino de
la Reina",Commerical Office,32.76508,-117.16396,,,
"northwest corner of
Pacific Highlands Ranch Parkway and Carmel Valley Road ",Low Density Residential,32.962723,-117.190263,,,
1002 18th Street,School,32.5783601111468,-117.094961670792,,,
"4th & J, San Diego, CA, 92101 south side of J Street between Third and Fourth Avenues","Residential, Non-Residential",32.709129,-117.161525,,,
NW Corner of Carmel Mountan and Carmel Country Road,Neighborhood Commercial Center,32.929031,-117.197403,,,
915 W Grape Street,,32.7246553,-117.1709035,,,
"3104, 3112 Garrison St",,32.7264611,-117.2294744,,,
3953 01st Av,,32.7491213457263,-117.163804482,,,
3715 10th Av,,32.74579,-117.1550013,,,
3250 Adams Av,,32.7636699,-117.1236635,,,
"4336, 4338 53rd St",,32.7558964,-117.0818723,,,
"2951, 2961 E St",,32.7145407,-117.1305902,,,
3047 North Park Wy,,32.7473238289047,-117.128676295791,,,
3535 03rd Av,,32.742213,-117.162517,,,
330 13th St,,32.7088233,-117.1531079,,,
3233 Kemper St,,32.7507905,-117.2151339,,,
"6200 Gullstrand St Unit BLDG 1D, 6210 Gullstrand St Unit BLDG 1B",,32.8519458,-117.191532,,,
"3405 Del Rey St, 4275 Mission Bay Dr",,32.8011176956787,-117.21268085712,,,
3767 Bancroft St,,32.7468625,-117.1236356,,,
3642 07th Av,,32.7441824,-117.1587123,,,
1436 S 40th St,,32.6914636613945,-117.108206153682,,,
4505 Park Bl,,32.759291,-117.1460336,,,
4405 West Point Loma Bl,,32.7521762,-117.2311264,,,
8800 Lombard Pl,,32.867835,-117.21212,,,
4726 Utah St,,32.7634044,-117.1329332,,,
4365 Ohio St,,32.7566936,-117.1285897,,,
127 50th St,,32.7048473,-117.0865644,,,
606 Washington St,,32.7500379559097,-117.160154560453,,,
7227 Saranac St,,32.7706738,-117.0419969,,,
4155 Maryland St,,32.752974,-117.1505689,,,
"6121 Fairmount Av, 4304 Twain Av",,32.7857329,-117.1011588,,,
"4200 Brooke Ct, 4195 La Jolla Village Dr",,32.871768,-117.21553,,,
1919 Pacific Hwy,,32.7242277,-117.1708849,,,
6161 Fairmount Av,,32.786676837024,-117.101405094656,,,
1501 Island Av,,32.7103548287394,-117.150352000984,,,
2305 University Ave,,32.7482205,-117.1398769,,,
895 Park Bl,,32.71447,-117.153551,,,
2395 Cardinal Dr,,32.7885588245991,-117.157745034722,,,
3307 Reynard Wy,,32.7399325,-117.1689422,,,
4422 Euclid Av,,32.7570512,-117.0925707,,,
"1138, 1144 Fresno St",,32.7672745,-117.1881493,,,
3864 1/3 31st St (3810 31st Street in permit),,32.7478339242424,-117.127251171326,,,
1644 University Av,,32.7486703,-117.1488467,,,
4045 30th St,,32.7512188,-117.1299662,,,
4021 Georgia St,,32.7506728011409,-117.14489694462,,,
300 14th St,,32.7083761179303,-117.151973214799,,,
"520 W Ash St, 1440 Columbia St",,32.7201276,-117.1676206,,,
1601 Broadway,,32.7153333,-117.1490783,,,
7785 Mission Gorge Rd,,32.8369737855302,-117.027081590192,,,
1255 C St,,32.7166877496503,-117.153285185805,,,
4211 Utah St Unit 1-6,,32.754344,-117.1322944,,,
325 Robinson Av,,32.7467439,-117.1620782,,,
2535 Brant St,,32.7318059,-117.1664006,,,
7406 North Judson St,,32.7907603,-117.1634441,,,
4373 Cleveland Av,,32.7567568,-117.1498194,,,
4591 Gila Av,,32.8268874,-117.2068481,,,
4440 Twain Av,,32.7857738,-117.09978,,,
1100 F St,,32.7137381711701,-117.154676429343,,,
625 Broadway,,32.715485,-117.1588011,,,
1011 Fort Stockton Dr,,32.7506358,-117.1726115,,,
4079 01st Av,,32.7514611836151,-117.163811784718,,,
2104 Columbia St,,32.7267497,-117.1689496,,,
"16040, 16060 Potomac Ridge Rd",,33.016617,-117.124518,,,
4640 30th St,,32.7618113,-117.130412,,,
7152 Fulton St,,32.7899156,-117.1671199,,,
"341, 373, 389 S Willie James Jones Av",,32.7016295,-117.0874489,,,
4353 Dawson Av,,32.7566258,-117.082317,,,
3752 Park Bl,,32.7466838,-117.1466356,,,
4021 8th Av,,32.7503056170013,-117.157339853571,,,
4480 30th St Unit #1-8,Commercial with High-Very High Density Residential ,32.758709,-117.1305448,,,
4516 Utah St Unit 1-6,,32.7594854,-117.1330019,,,
1453 04th Av,,32.7206223,-117.160839,,,
5968 Lauretta St,,32.7689357,-117.1862984,,,
2124 Front St,,32.7275223,-117.1651001,,,
6810 El Cajon Bl,,32.7688768,-117.051226,,,
340 TP 15th St,,32.7089424,-117.1506344,,,
1965 Columbia St,,32.7255839,-117.1678893,,,
4201 30th St,,32.7543821,-117.1298179,,,
6619 Linda Vista Rd,,32.7738773,-117.1746684,,,
"6335, 6345 Gullstrand St",,32.8521130380777,-117.190832620277,,,
4060 Utah St,,32.7514849,-117.1330103,,,
6340 Gullstrand St,,32.8518627,-117.1915278,,,
"550, 555 W Date St",,32.7230856175744,-117.167848953788,,,
1435 Imperial Av,,32.7060537,-117.1512883,,,
5003 Imperial Av,,32.703792,-117.0865605,,,
4319 Mississippi,,32.7558077,-117.141098,,,
3030 Jarvis St,,32.7276459501264,-117.227096932394,,,
1620 Scarlet Ash Avenue,Suburban Neighborhood High Density,38.6547250200024,-121.495543787496,,,
"Don River Lane. in between Suez Canal Lane. & Red Sea Lane., Natomas Central, District 1 ",Suburban Neighborhood High Density 15-30 du/,38.652045,-121.553596,,,
